
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021GLSTPCRALL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:47:02 2021
Last Update:    Wed Jan 20 23:47:02 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        4793            Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        4793 of 4793

"Position","Sample Number","Grouping by Num","Starch","Total_Poly","WSP",
1,"14W32026-1", 1.2377340, 15.2153454, 20.5247078, 5.3554230,
2,"14W31518-1", 1.2178355, 19.1027412, 33.4517632, 14.2381058,
3,"14W30506-1", 1.2222037, 12.2503843, 34.9294930, 22.6713409,
4,"14W31905-1", 1.2255695, 5.3867340, 26.5078735, 21.0867996,
5,"14W31473-1", 1.2194364, 11.0012770, 25.7960968, 14.7847939,
6,"14W31549-1", 1.2226079,-2.7197037, 21.2313766, 23.9161720,
7,"14W31321-1", 1.2362342, 15.9632921, 21.2503052, 5.3633385,
8,"14W31133-2", 1.2265089, 25.2039852, 41.9245720, 16.7594681,
9,"14W31074-1", 1.2285302, 16.8547688, 24.9978142, 8.0652924,
10,"14W30913-1", 1.2291759, 21.3749180, 35.3936653, 13.9805870,
11,"14W31134-1", 1.2353619, 17.0930443, 33.5424156, 16.4321938,
12,"14W31652-1", 1.2378091, 19.3754234, 36.7988625, 17.4247437,
13,"14W31861-1", 1.2277324, 13.6870108, 19.9480705, 6.1088562,
14,"14W32340-1", 1.2324160, 9.2864685, 29.8449821, 20.4902306,
15,"14W30939-1", 1.2323058, 9.4472456, 30.2754784, 20.7633667,
16,"14W32101-1", 1.2247199, 12.2524920, 28.4492531, 16.1259766,
17,"14W32139-1", 1.2283316,-0.7745485, 21.5454369, 22.2793465,
18,"14W30327-1", 1.2274060, 12.8003893, 31.5392189, 18.7101936,
19,"14W30325-1", 1.2284150, 11.5202971, 31.8277130, 20.2717361,
20,"14W30528-1", 1.2220523, 2.1059904, 27.5322571, 25.4211998,
21,"14W31063-1", 1.2276251,-0.3985758, 26.7577629, 27.1635628,
22,"14W32351-1", 1.2293950, 5.2028017, 27.0957794, 21.8263931,
23,"14W30744-2", 1.2194327, 22.8990536, 34.4154968, 11.4518890,
24,"14W31720-1", 1.2296519, 8.4809647, 30.4220200, 21.9536896,
25,"14W31921-1", 1.2220229, 18.3581104, 30.8089447, 12.3930931,
26,"14W31903-1", 1.2085201, 12.4685917, 24.8549957, 12.3354759,
27,"14W31106-1", 1.2340062, 18.2890167, 34.4045067, 16.1397514,
28,"14W32025-1", 1.2239792, 8.9052811, 34.9128952, 25.9522667,
29,"14W31520-1", 1.2358143, 13.6803017, 34.9938278, 21.3434563,
30,"14W31751-1", 1.2361326, 15.0996475, 36.0588036, 20.9321213,
31,"14W32429-1", 1.2053537, 17.4055710, 24.1741638, 6.6357803,
32,"14W32468-1", 1.2206380, 16.4911861, 32.0124512, 15.4396248,
33,"14W31129-1", 1.2338549, 18.3367424, 37.0483360, 18.7380714,
34,"14W30533-1", 1.2213831, 14.0729141, 27.3955956, 13.2487564,
35,"14W32245-1", 1.2150714, 35.5988503, 46.8667030, 11.2782555,
36,"14W31714-1", 1.2333165, 8.7474909, 29.0243950, 20.3121452,
37,"14W32357-1", 1.2300339, 8.3715038, 29.6573753, 21.2630348,
38,"14W31070-1", 1.2311391, 20.8384056, 35.2957535, 14.4406242,
39,"14W30676-2", 1.2202177, 10.4908600, 27.3183670, 16.7746391,
40,"14W31634-1", 1.2369835, 13.6065006, 33.7792473, 20.1907654,
41,"14W31462-1", 1.2281337, 11.0458422, 33.8992348, 22.8395462,
42,"14W30459-1", 1.2119259, 17.4126892, 32.3608704, 14.8829842,
43,"14W31725-1", 1.1984805, 16.5660381, 32.6097069, 16.0259590,
44,"14W31873-1", 1.2250185, 12.4815626, 33.9937553, 21.5328560,
45,"14W31109-1", 1.2302403, 14.2573833, 34.9294548, 20.7032890,
