
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021OTSUPLSVAL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:30:45 2021
Last Update:    Wed Jan 20 23:30:45 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"<none>", 6.8175015, 6.1228256, 34.3734779, 44.8598595,
2,"<none>", 6.7867174, 6.0925064, 34.5128899, 44.9166489,
3,"<none>", 6.7892585, 6.1066608, 34.3074722, 44.7658005,
4,"<none>", 6.7966213, 6.0863624, 34.5831413, 44.9669800,
5,"<none>", 6.7823706, 6.1017008, 34.5303307, 44.9490509,
6,"<none>", 6.8027382, 6.1235075, 34.5184937, 44.9818115,
7,"14NY0656-2", 5.2663589, 4.5050378, 10.5053825, 19.5369339,
8,"14NY0656-2", 5.2605443, 4.5007534, 10.5008907, 19.5206814,
9,"14NY0440-1", 4.6443553, 3.6654029, 6.1621895, 13.7174263,
10,"14NY0440-1", 4.6068516, 3.6410558, 6.0493279, 13.5657997,
11,"15W3032-2", 4.7547979, 3.9839745, 8.1093636, 16.4001904,
12,"15W3032-2", 4.7418327, 3.9734845, 8.0759239, 16.3461151,
13,"14NY0617-2", 5.4728851, 4.6467648, 9.7832222, 19.3119812,
14,"14NY0617-2", 5.4545469, 4.6287785, 9.7627831, 19.2540798,
15,"14NY0656-1", 5.4180813, 4.5373278, 9.1084023, 18.3212719,
16,"14NY656-1", 5.3973780, 4.5220613, 9.1023846, 18.2823925,
17,"14NY0656-1", 5.4070778, 4.5319524, 9.1978683, 18.3895454,
18,"15W2361-2", 4.9068451, 4.2062178, 9.9462872, 18.6058578,
19,"15W2361-2", 4.9023170, 4.1991892, 9.9462624, 18.5893173,
20,"14NY0444-1", 6.5345964, 5.5797272, 13.2504807, 24.5765953,
21,"14NY0444-1", 6.5149732, 5.5651922, 13.2275410, 24.5232563,
22,"14NY0444-1", 6.5158944, 5.5632420, 13.2904577, 24.5718079,
23,"15W2807-2", 5.9428434, 5.2522907, 13.9195004, 24.3768158,
24,"15W2807-2", 5.9273925, 5.2417245, 13.8846960, 24.3215008,
25,"15W2807-2", 5.9263453, 5.2382579, 13.9060678, 24.3310814,
26,"15W3205-2", 5.9853907, 5.3706841, 16.9511909, 27.3203812,
27,"15W3205-2", 5.9774480, 5.3599796, 16.9415340, 27.2916737,
28,"14NY0150-1", 8.2902412, 7.2022552, 22.9384937, 36.9393845,
29,"14NY0150-1", 8.2853413, 7.1972642, 22.9354649, 36.9272461,
30,"14W30927-1", 6.3752017, 5.6710577, 16.2765560, 27.3553677,
31,"14W30927-1", 6.3543081, 5.6585121, 16.1672363, 27.2284775,
32,"15W3146-2", 7.7647600, 6.6080108, 20.0334625, 33.0528641,
33,"15W3146-2", 7.7532058, 6.6008477, 19.9881401, 32.9951935,
34,"14NY0407-2", 5.1422281, 4.4099274, 6.5662403, 15.8170910,
35,"14NY0407-2", 5.1441321, 4.4086342, 6.6467495, 15.8846664,
36,"14NY0407-2", 5.1360188, 4.3996267, 6.6387711, 15.8599415,
37,"15W3610-18", 7.1747808, 6.0234094, 15.4388695, 27.2989445,
38,"15W3610-1", 7.1623635, 6.0163875, 15.4490538, 27.2934284,
39,"14NY0407-1", 4.7959280, 4.0511923, 4.3340054, 12.9642105,
40,"14NY0407-1", 4.7746210, 4.0291557, 4.3015690, 12.8857479,
41,"14NY0407-1", 4.7621055, 4.0191064, 4.3173180, 12.8754883,
42,"15W2610-2", 6.5285773, 5.4552798, 18.2278557, 28.7693443,
43,"15W2610-2", 6.5150428, 5.4468718, 18.2007866, 28.7250900,
44,"14NY0150-2", 7.7410722, 6.6638412, 20.3961849, 33.4947243,
45,"14NY0150-2", 7.7351003, 6.6583314, 20.3983116, 33.4848557,
46,"14NY0617-1", 5.5669227, 4.6923904, 10.7263355, 20.2274017,
47,"14NY0617-1", 5.5524387, 4.6847711, 10.6936245, 20.1805382,
48,"14NY0444-2", 7.0324869, 5.8974657, 16.3053303, 28.0010490,
49,"14NY0444-2", 7.0192275, 5.8900003, 16.2871265, 27.9690037,
50,"14NY0072-2", 6.0028358, 5.0772548, 12.4157076, 22.6074047,
51,"14NY0072-2", 5.9820280, 5.0574808, 12.3917503, 22.5435066,

                        "Minimum:",, 4.6068516, 3.6410558, 4.3015690, 12.8754883,
                        "Maximum:",, 8.2902412, 7.2022552, 34.5831413, 44.9818115,
                        "Mean:",, 6.0965672, 5.2385440, 15.2259312, 25.5289383,
                        "Std. Deviation:",, 1.0160214, 0.9341906, 8.5565996, 9.4821024,
                        "Total Values:",, 51.0000000, 51.0000000, 51.0000000, 51.0000000,
