
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021SH2SUPLSVAL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:36:36 2021
Last Update:    Wed Jan 20 23:36:36 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"<none>", 7.7924628, 7.7758026, 23.4150810, 119.1453323,
2,"<none>", 7.7869091, 7.7799973, 23.4161968, 119.1303406,
3,"<none>", 7.7916555, 7.7716293, 23.4148655, 119.0334015,
4,"<none>", 7.7892232, 7.7907896, 23.3988190, 118.2027817,
5,"<none>", 7.7905192, 7.7826595, 23.4037952, 119.9670792,
6,"<none>", 7.7866521, 7.7742901, 23.4260712, 120.9067688,
7,"14NY0656-2", 7.7792454, 7.4563875, 23.2510033, 32.9306412,
8,"14NY0656-2", 7.7754397, 7.4536347, 23.2581844, 32.9542122,
9,"14NY0440-1", 7.3644671, 6.9633899, 24.6358547, 32.3092422,
10,"14NY0440-1", 7.3662391, 6.9607005, 24.6304417, 32.0284424,
11,"15W3032-2", 7.6025929, 7.1189799, 23.9871502, 35.5210838,
12,"15W3032-2", 7.6018696, 7.1186905, 23.9875927, 35.3411331,
13,"14NY0617-2", 7.4016490, 6.7748928, 24.8565216, 32.5822601,
14,"14NY0617-2", 7.3991618, 6.7738967, 24.8606567, 32.3142204,
15,"14NY0656-1", 7.4360728, 6.9345231, 24.6283703, 37.8618851,
16,"14NY656-1", 7.4344988, 6.9322820, 24.6320267, 37.5626755,
17,"14NY0656-1", 7.4321523, 6.9302468, 24.6395092, 37.6785660,
18,"15W2361-2", 7.7314100, 7.2963667, 23.4332161, 28.8819237,
19,"15W2361-2", 7.7296968, 7.2962823, 23.4364510, 28.6364212,
20,"14NY0444-1", 6.8760862, 5.8343954, 27.1158199, 45.9028931,
21,"14NY0444-1", 6.8753881, 5.8341699, 27.1144218, 45.5817490,
22,"14NY0444-1", 6.8791361, 5.8469033, 27.0919418, 45.5681763,
23,"15W2807-2", 7.8902087, 7.5026813, 23.0120449, 37.6603889,
24,"15W2807-2", 7.8866835, 7.4974737, 23.0230904, 37.6868477,
25,"15W2807-2", 7.8845105, 7.4984040, 23.0240211, 37.4719925,
26,"15W3205-2", 7.9563980, 7.6847467, 22.5832844, 29.9248695,
27,"15W3205-2", 7.9531078, 7.6801977, 22.5945911, 29.7642899,
28,"14NY0150-1", 6.9558444, 5.9832172, 26.6906433, 38.5886421,
29,"14NY0150-1", 6.9561710, 5.9825940, 26.6908989, 38.2938805,
30,"14W30927-1", 8.0433493, 7.7931395, 22.2745953, 32.7327805,
31,"14W30927-1", 8.0411358, 7.7866669, 22.2861176, 32.9167671,
32,"15W3146-2", 6.5927663, 5.4159174, 28.0945091, 45.4081154,
33,"15W3146-2", 6.5948076, 5.4176178, 28.0882988, 45.1702538,
34,"14NY0407-2", 7.6500850, 7.0894027, 23.9814110, 39.2528152,
35,"14NY0407-2", 7.6525373, 7.0990005, 23.9651070, 39.0422134,
36,"14NY0407-2", 7.6505847, 7.0960560, 23.9709301, 38.7439766,
37,"15W3610-18", 7.3475847, 6.7916327, 25.1019802, 40.2186813,
38,"15W3610-1", 7.3432446, 6.7842026, 25.1172581, 40.1455307,
39,"14NY0407-1", 7.5248399, 6.9315929, 24.4543514, 40.7651596,
40,"14NY0407-1", 7.5241070, 6.9335999, 24.4519215, 40.5671425,
41,"14NY0407-1", 7.5204434, 6.9316750, 24.4579048, 40.4575233,
42,"15W2610-2", 6.9651427, 6.2995944, 26.1538219, 30.5819016,
43,"15W2610-2", 6.9650273, 6.2992687, 26.1542683, 30.5045166,
44,"14NY0150-2", 6.9434648, 5.9707341, 26.6962967, 38.1950035,
45,"14NY0150-2", 6.9448094, 5.9727945, 26.6927986, 37.9385185,
46,"14NY0617-1", 7.3560038, 6.7703958, 24.9602356, 34.1940231,
47,"14NY0617-1", 7.3573680, 6.7717242, 24.9532757, 34.0752831,
48,"14NY0444-2", 6.9412184, 6.0789380, 26.6664562, 42.7794914,
49,"14NY0444-2", 6.9412618, 6.0769372, 26.6682625, 42.5897369,
50,"14NY0072-2", 7.4708381, 6.9480143, 24.4784470, 34.2789650,
51,"14NY0072-2", 7.4682326, 6.9463143, 24.4833126, 33.8633842,

                        "Minimum:",, 6.5927663, 5.4159174, 22.2745953, 28.6364212,
                        "Maximum:",, 8.0433493, 7.7931395, 28.0945091, 120.9067688,
                        "Mean:",, 7.4459667, 6.9065771, 24.6628265, 46.5461540,
                        "Std. Deviation:",, 0.3880810, 0.6786711, 1.5363063, 27.2463398,
                        "Total Values:",, 51.0000000, 51.0000000, 51.0000000, 51.0000000,
