
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP_ALLSAMPLES_INCLVAL_WSMDP2021GLSTPLS.ANL  Predicted Value File
File Date:      Wed Mar 03 10:53:52 2021
Last Update:    Wed Mar 03 10:53:52 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        4558            Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        4558 of 4558

"Position","Sample Number","Grouping by Num","Starch","Total_Poly","WSP",
1,"14w32448", 1.1672198, 15.6489077, 35.3706512, 19.8044968,
2,"14W32448-1", 1.1713890, 15.8976021, 35.6751404, 19.7639008,
3,"14W32138-1", 0.9971327, 15.1868687, 29.7623253, 11.8821869,
4,"14W31477-1", 1.0954418, 13.8436890, 27.5018616, 13.9604225,
5,"14W32469-1", 1.0642034, 13.5143957, 35.1397133, 21.7549896,
6,"14W31545-2", 1.0555369, 16.5927620, 30.7829094, 11.0205650,
7,"14W31557-1", 1.1168629, 8.6163044, 32.8232307, 23.2459030,
8,"14W32251-1", 1.1492319, 14.9527512, 18.8525200, 4.5551796,
9,"13W31279-1", 1.1656406, 12.1449490, 31.0130997, 18.8813019,
10,"14W31315-1", 1.2468266, 25.6493835, 35.2568054, 11.4150200,
11,"14W31911-1", 1.1759584, 8.0036249, 28.5011368, 21.9444580,
12,"14W314550-1", 1.1643122, 8.6574373, 25.3431015, 18.6622849,
13,"14W31741-2", 1.0604181, 12.4041214, 28.8745880, 15.2177505,
14,"14W31712-1", 1.0213042, 12.4422979, 28.5466232, 14.9190979,
15,"14W30726-1", 1.0599849, 14.1552353, 29.3445129, 13.9077568,
16,"14W32105-1", 1.1507459, 8.5850029, 26.6468735, 19.6543503,
17,"14W31852-1", 1.2783408, 8.5020323, 29.8708267, 24.7768021,
18,"14W30671-2", 1.1898403, 11.9291792, 26.6240387, 16.4482117,
19,"14W31832-1", 1.3067787, 10.9984894, 27.5502090, 20.2829208,
20,"14W30915-1", 1.2548791, 9.6467695, 25.4927902, 18.7435989,
21,"14W31933-1", 1.1360261, 7.2760630, 28.5846596, 19.8809357,
22,"14W31119-1", 1.1070541, 8.5295734, 25.9510155, 17.6089859,
23,"14W32031-1", 1.1136054, 13.9823151, 26.3823509, 11.3974648,
24,"14W31510-1", 1.1493258, 13.7133350, 26.1002998, 14.8476257,
25,"14W32070-1", 1.0435475, 13.6712379, 29.8524971, 14.9984970,
26,"14W31435-1", 1.1068386, 21.4840622, 37.2847900, 15.8516846,
27,"14W31114-1", 1.1152296, 14.6860304, 26.1136436, 12.8248901,
28,"14W31713-1", 1.2351903, 12.9158516, 27.3494072, 17.5126648,
29,"14W31237-1", 1.1251217, 19.7642403, 33.1157494, 14.9602737,
30,"14W31637-1", 1.0595008, 11.6326704, 21.5715866, 11.6720619,
31,"14W32473-1", 1.1107047, 14.1876230, 29.3146248, 16.0722275,
32,"14W32149-1", 1.2231989, 21.8611851, 33.6338806, 14.9981918,
33,"14W30926-2", 1.1466255, 8.8529520, 32.3073044, 22.5445175,
34,"14W30841-1", 1.1256158, 20.7408314, 23.8218231, 2.0488739,
35,"14W30744-1", 1.0717992, 23.5597191, 36.5398598, 12.8974419,
36,"14W31130-1", 1.1241049, 17.0459538, 35.5960197, 17.8157578,
37,"14W30938-1", 1.1510868, 9.5365381, 27.7934799, 19.3577576,
38,"14W32438-1", 1.1264334, 6.8743877, 32.2138023, 24.4222031,
39,"14W30653-1", 1.2386638, 11.9076242, 26.3045464, 17.1188965,
40,"14W32238-1", 1.0361218, 10.6591368, 12.2175837, 1.2158432,
41,"14W30515-1", 1.2347677, 11.7330885, 27.0348740, 18.0793915,
42,"14W30515-1", 1.2350632, 12.0396309, 27.4747047, 18.1870804,
43,"14W32031-2", 1.0016679, 14.4069719, 28.9698410, 11.9644547,
44,"14W32433-1", 1.1474434, 7.7272835, 27.9880180, 21.0589142,
45,"14W31429-1", 1.0951149, 9.4341860, 18.6149635, 12.1844330,
46,"14W32441-1", 1.1542073, 0.5353088, 29.2725487, 28.8759384,
47,"14W31524-1", 1.2471669, 11.3241501, 25.1482964, 16.7237244,
48,"14W31653-1", 1.2051163, 15.8221407, 29.1606178, 14.4916229,
49,"14W31653-1", 1.2046641, 15.7907934, 29.2898788, 14.6349335,
50,"14W31654-1", 1.1556339, 3.4799862, 19.5497017, 18.2526474,
51,"14W31262-1", 1.0446981, 17.4792881, 23.4882317, 6.4501991,
52,"13W30927-1", 1.0956856, 17.8601379, 37.5195923, 17.1297760,
53,"14W31552-1", 1.1819687, 10.0059175, 29.2137146, 19.3620148,
54,"14W30519-1", 1.2017353, 17.4366074, 33.3876877, 18.1735687,
55,"14W32253-1", 1.1082751, 12.0534859, 22.8554230, 11.7978096,
56,"14W31517-1", 1.1926286, 13.2414646, 25.2268982, 15.1575928,
57,"14W31254-1", 1.1172622, 15.0446224, 33.1304207, 16.9330292,
58,"14W32064-1", 1.0974545, 11.4858522, 23.1257591, 12.9884682,
59,"14W32227-1", 1.2110488, 0.9235153, 20.5392227, 22.3087540,
