
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDPLWSPNFSTPLS_PREDA-G.ANL  Predicted Value File
File Date:      Mon Mar 22 15:16:07 2021
Last Update:    Mon Mar 22 15:16:07 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        6445            Deleted:        0
Constituents:   3               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        6445 of 6445

"Position","Sample Number","Starch","Total_Poly","WSP",
1,"<none>",-22.9317017, 3.1781666, 2.4604847,
2,"<none>",-23.0710163, 3.2708359, 2.5210369,
3,"<none>",-23.0013275, 3.0707958, 2.4474187,
4,"<none>",-23.1002216, 3.3902943, 2.5642567,
5,"<none>",-23.0426769, 3.2365460, 2.5131810,
6,"<none>",-23.0259075, 3.2069771, 2.4947805,
7,"14NY0656-2", 28.1345158, 30.9246197, 1.4656587,
8,"14NY0656-2", 28.1624660, 30.9594955, 1.4706359,
9,"14NY0440-1", 34.0105705, 36.0272408, 1.1605477,
10,"14NY0440-1", 34.0701485, 35.9667435, 1.1346519,
11,"15W3032-2", 28.6359196, 29.2145519, 0.4414200,
12,"15W3032-2", 28.6558247, 29.2426662, 0.4465306,
13,"14NY0617-2", 24.7941341, 24.7514954,-0.5861604,
14,"14NY0617-2", 24.8367691, 24.8139114,-0.5769335,
15,"14NY0656-1", 27.4161625, 29.2385445, 0.4336203,
16,"14NY656-1", 27.4019527, 29.2248287, 0.4325992,
17,"14NY0656-1", 27.3343678, 29.1736660, 0.4290460,
18,"15W2361-2", 26.7602596, 27.2330055, 0.4355049,
19,"15W2361-2", 26.8087177, 27.3044605, 0.4461372,
20,"14NY0444-1", 17.3792019, 13.5795822,-3.3829637,
21,"14NY0444-1", 17.4058380, 13.6051693,-3.3786817,
22,"14NY0444-1", 17.4726143, 13.7822800,-3.3232968,
23,"15W2807-2", 24.0020561, 25.6664371, 0.8369932,
24,"15W2807-2", 24.0535583, 25.6759548, 0.8271418,
25,"15W2807-2", 24.0505238, 25.7268238, 0.8439859,
26,"15W3205-2", 20.9485683, 24.5837955, 1.3712471,
27,"15W3205-2", 21.0033226, 24.6049137, 1.3609972,
28,"14NY0150-1", 12.0331287, 7.5083375,-3.7161045,
29,"14NY0150-1", 12.0389748, 7.5024867,-3.7217495,
30,"14W30927-1", 24.4766769, 26.8891945, 1.5095894,
31,"14W30927-1", 24.5609283, 26.8876228, 1.4903946,
32,"15W3146-2", 12.7933903, 6.4841075,-4.8022537,
33,"15W3146-2", 12.8261566, 6.5030503,-4.8001976,
34,"14NY0407-2", 31.7422199, 30.3665104, 0.2155966,
35,"14NY0407-2", 31.7340984, 30.4690380, 0.2567888,
36,"14NY0407-2", 31.7485828, 30.4614811, 0.2473031,
37,"15W3610-18", 21.7042675, 23.7691326,-0.1475531,
38,"15W3610-1", 21.6501846, 23.6854477,-0.1693068,
39,"14NY0407-1", 32.8251534, 31.8819656, 0.1862546,
40,"14NY0407-1", 32.9372978, 32.0212708, 0.2064620,
41,"14NY0407-1", 32.9562263, 32.0617065, 0.2172952,
42,"15W2610-2", 16.5931835, 17.0927353,-1.6563973,
43,"15W2610-2", 16.5926018, 17.0928268,-1.6544635,
44,"14NY0150-2", 14.5397034, 9.6032629,-3.6326399,
45,"14NY0150-2", 14.5091705, 9.6017342,-3.6262705,
46,"14NY0617-1", 24.6175251, 25.4470692,-0.3458081,
47,"14NY0617-1", 24.6455612, 25.4488640,-0.3438754,
48,"14NY0444-2", 17.6267242, 15.8051357,-2.4597411,
49,"14NY0444-2", 17.6210709, 15.7636986,-2.4714429,
50,"14NY0072-2", 25.5148983, 25.9234505,-0.0973235,
51,"14NY0072-2", 25.5390434, 25.9586315,-0.0932711,
52,"17KMF1", 6.1996036, 21.1988220, 3.0098324,
53,"17KMF10",-3.6063128, 5.0219188, 1.7893877,
54,"17KMF100", 0.8086143, 9.1930647, 2.2002306,
55,"17KMF101", 6.9487863, 13.3629255, 2.0529697,
56,"17KMF102", 4.8876719, 17.7674408, 2.7955921,
57,"17KMF103", 6.7693496, 12.2343626, 1.8389812,
58,"17KMF104", 5.1308532, 17.8493786, 2.8812313,
59,"17KMF105", 14.8855686, 18.1187000, 2.1017709,
60,"17KMF106", 1.3394251, 17.4290562, 2.9968681,
61,"17KMF107", 16.5843945, 26.3920593, 2.9044256,
62,"17KMF108",-2.3944175, 15.4944458, 3.2080355,
63,"17KMF109",-0.7824497, 14.3921700, 2.7771270,
64,"17KMF110", 2.7075009, 17.9372711, 3.1046073,
65,"17KMF111", 5.9924045, 14.4978428, 2.2030811,
66,"17KMF112", 3.8022342, 12.5928040, 2.0314462,
67,"17KMF113",-3.1024215, 4.4555554, 1.7010069,
68,"17KMF114", 8.9975586, 21.3715305, 2.8036387,
69,"17KMF115", 8.0703201, 18.5702801, 2.7276742,
70,"17KMF116", 4.3590693, 9.0578642, 1.7859976,
71,"17KMF117", 6.4530454, 10.0013323, 1.6210544,
72,"17KMF118",-0.3711429, 6.5645947, 1.8651710,
73,"17KMF119", 8.7983627, 21.5460663, 3.0627410,
74,"17KMF12", 6.7572446, 21.7263107, 2.9737620,
75,"17KMF120", 4.6769671, 16.2213020, 2.4814839,
76,"17KMF121", 4.7937407, 19.0111046, 2.8660655,
77,"17KMF122", 7.0080132, 11.2092323, 1.7088776,
78,"17KMF123", 5.8782878, 18.5517235, 2.9291725,
79,"17KMF124", 3.3704209, 10.2704229, 1.9317193,
80,"17KMF125", 7.5821509, 12.8307533, 1.7222021,
81,"17KMF126", 1.6449180, 13.9074097, 2.5835826,
82,"17KMF127", 7.2377028, 12.9668140, 1.8743393,
83,"17KMF128", 3.3332791, 8.6119251, 1.6953869,
84,"17KMF129", 3.8562131, 11.5280085, 2.1999829,
85,"17KMF13", 7.0908885, 12.8626022, 1.8711803,
86,"17KMF130", 38.6879883, 41.7046394, 1.7162580,
87,"17KMF131", 7.7215972, 12.9027004, 1.9494278,
88,"17KMF132", 9.7251644, 24.1676636, 3.3084457,
89,"17KMF133",-1.9001591, 6.7441335, 1.7349119,
90,"17KMF134", 7.4072995, 18.8367977, 2.6907797,
91,"17KMF135", 5.9712329, 11.4780979, 1.7290592,
92,"17KMF136",-0.5099659, 13.7407694, 2.3879366,
93,"17KMF137", 1.2046056, 8.1735229, 1.7794480,
94,"17KMF138", 2.5952134, 10.1186924, 2.0419202,
95,"17KMF139", 7.5944400, 19.5278912, 2.7723396,
96,"17KMF14", 5.9457374, 18.8702145, 2.8012600,
97,"17KMF140", 9.0008106, 17.5108452, 2.4083893,
98,"17KMF141", 1.9471993, 9.5753555, 1.9886334,
99,"17KMF142", 11.0452099, 18.1071835, 2.4514942,
100,"17KMF143", 3.1458535, 19.5309429, 3.1850870,
101,"17KMF144", 9.8809566, 16.7693024, 2.1205676,
102,"17KMF145", 16.8131161, 28.1433411, 3.1269522,
103,"17KMF147", 4.8372178, 16.6484661, 2.4745576,
104,"17KMF148", 8.6505222, 20.1793041, 2.7575846,
105,"17KMF15", 10.6048050, 18.2648220, 2.5735397,
106,"17KMF150", 13.5445595, 25.4564552, 3.0842543,
107,"17KMF151", 4.1613564, 20.1905384, 3.0666614,
108,"17KMF152", 18.4842434, 20.0903111, 2.0067449,
109,"17KMF153", 11.6276436, 15.5846310, 2.0293515,
110,"17KMF154",-2.6333139, 11.6838341, 2.6741512,
111,"17KMF155", 1.1918836, 7.5028167, 1.6763875,
112,"17KMF156", 7.2617288, 21.8119583, 2.9581795,
113,"17KMF157", 6.3920922, 22.7227554, 3.2499590,
114,"17KMF158", 8.0263672, 17.9229279, 2.6740947,
