
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021SH2SUPCRVAL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:35:49 2021
Last Update:    Wed Jan 20 23:35:49 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"<none>", 7.1602020, 6.5071077, 22.3241749, 39.3460732,
2,"<none>", 7.1475892, 6.4914966, 22.3199329, 39.3607788,
3,"<none>", 7.1633573, 6.5110130, 22.3285065, 39.3423958,
4,"<none>", 7.1407156, 6.4829888, 22.3032169, 39.3687897,
5,"<none>", 7.1558189, 6.5016828, 22.3057709, 39.3511848,
6,"<none>", 7.1547842, 6.5004020, 22.3263931, 39.3523903,
7,"14NY0656-2", 7.6357031, 7.0956445, 23.1595249, 38.7917480,
8,"14NY0656-2", 7.6325951, 7.0917969, 23.1646156, 38.7953720,
9,"14NY0440-1", 7.2150407, 6.5749826, 24.4229622, 39.2821426,
10,"14NY0440-1", 7.2222457, 6.5839005, 24.4236164, 39.2737465,
11,"15W3032-2", 7.5439839, 6.9821224, 23.9461136, 38.8986740,
12,"15W3032-2", 7.5433593, 6.9813495, 23.9459972, 38.8993988,
13,"14NY0617-2", 7.4032526, 6.8079362, 24.7269516, 39.0627327,
14,"14NY0617-2", 7.3996611, 6.8034911, 24.7307396, 39.0669212,
15,"14NY0656-1", 7.3483162, 6.7399402, 24.4213753, 39.1267776,
16,"14NY656-1", 7.3471966, 6.7385540, 24.4266243, 39.1280823,
17,"14NY0656-1", 7.3451004, 6.7359595, 24.4320583, 39.1305237,
18,"15W2361-2", 7.6956725, 7.1698694, 23.4423847, 38.7218399,
19,"15W2361-2", 7.6925845, 7.1660476, 23.4441013, 38.7254410,
20,"14NY0444-1", 7.0700336, 6.3955045, 27.0016537, 39.4511871,
21,"14NY0444-1", 7.0697727, 6.3951817, 27.0010376, 39.4514923,
22,"14NY0444-1", 7.0686297, 6.3937669, 26.9759674, 39.4528275,
23,"15W2807-2", 7.8289962, 7.3348866, 22.9849396, 38.5664139,
24,"15W2807-2", 7.8275456, 7.3330922, 22.9959602, 38.5681076,
25,"15W2807-2", 7.8237228, 7.3283596, 22.9942951, 38.5725632,
26,"15W3205-2", 7.8389444, 7.3472013, 22.5742702, 38.5548172,
27,"15W3205-2", 7.8363161, 7.3439469, 22.5860691, 38.5578804,
28,"14NY0150-1", 7.1968327, 6.5524468, 26.6950741, 39.3033714,
29,"14NY0150-1", 7.1971574, 6.5528479, 26.6970348, 39.3029938,
30,"14W30927-1", 7.9540625, 7.4896827, 22.2564754, 38.4206161,
31,"14W30927-1", 7.9556637, 7.4916668, 22.2695236, 38.4187469,
32,"15W3146-2", 6.8919616, 6.1751018, 28.0933533, 39.6587791,
33,"15W3146-2", 6.8943696, 6.1780820, 28.0888481, 39.6559715,
34,"14NY0407-2", 7.6510572, 7.1146493, 23.9477654, 38.7738495,
35,"14NY0407-2", 7.6491303, 7.1122637, 23.9280014, 38.7760963,
36,"14NY0407-2", 7.6476011, 7.1103711, 23.9353771, 38.7778778,
37,"15W3610-18", 7.2731962, 6.6469626, 24.8567810, 39.2143478,
38,"15W3610-1", 7.2711496, 6.6444297, 24.8722000, 39.2167358,
39,"14NY0407-1", 7.5104957, 6.9406734, 24.3353863, 38.9377136,
40,"14NY0407-1", 7.5074396, 6.9368906, 24.3328037, 38.9412727,
41,"14NY0407-1", 7.5036087, 6.9321494, 24.3372269, 38.9457397,
42,"15W2610-2", 6.9980121, 6.3063617, 25.9924488, 39.5351486,
43,"15W2610-2", 6.9984293, 6.3068790, 25.9926815, 39.5346642,
44,"14NY0150-2", 7.1810522, 6.5329137, 26.7171116, 39.3217659,
45,"14NY0150-2", 7.1810341, 6.5328927, 26.7139301, 39.3217888,
46,"14NY0617-1", 7.3253131, 6.7114692, 24.7876129, 39.1535912,
47,"14NY0617-1", 7.3285160, 6.7154336, 24.7823009, 39.1498566,
48,"14NY0444-2", 7.0426874, 6.3616581, 26.5183067, 39.4830666,
49,"14NY0444-2", 7.0444379, 6.3638248, 26.5221462, 39.4810257,
50,"14NY0072-2", 7.4473658, 6.8625369, 24.3465805, 39.0113068,
51,"14NY0072-2", 7.4441977, 6.8586149, 24.3518867, 39.0149994,

                        "Minimum:",, 6.8919616, 6.1751018, 22.2564754, 38.4187469,
                        "Maximum:",, 7.9556637, 7.4916668, 28.0933533, 39.6587791,
                        "Mean:",, 7.3805079, 6.7797847, 24.4525509, 39.0892487,
                        "Std. Deviation:",, 0.2882172, 0.3567319, 1.6567428, 0.3359944,
                        "Total Values:",, 51.0000000, 51.0000000, 51.0000000, 51.0000000,
