Sample Number,Variety,endo,Source notes,year,location,Extra Notes
14A0268,2,su1,Found in Diversity Panel. No notes,2014,New York,
14A0721,2,su1,Found in Diversity Panel. No notes,2014,New York,
31748,2,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
31915,2,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0164,2,su1,Found in Diversity Panel. No notes,2015,New York,
15A0837,2,su1,Found in Diversity Panel. No notes,2015,New York,
30663,257A9,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
31530,257A9,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0119,257A9,su1,Found in Diversity Panel. No notes,2015,New York,
14A0369,304A,su1,Strain 304A-408-68(B),2014,New York,
14A0796,304A,su1,Strain 304A-408-68(B),2014,New York,
30723,304A,su1,Strain 304A-408-68(B),2014,Wisconsin,
31848,304A,su1,Strain 304A-408-68(B),2014,Wisconsin,
15A0475,304A,su1,Strain 304A-408-68(B),2015,New York,
15A0894,304A,su1,Strain 304A-408-68(B),2015,New York,
3552,304A,su1,no notes,2015,Wisconsin,
14A0075,34f,sh2,Found in Diversity Panel. No notes. Endosperm changed to match baseggio (visual),2014,New York,
14A0519,34f,sh2,Found in Diversity Panel. No notes. Endosperm changed to match baseggio (visual),2014,New York,
31249,34f,sh2,Found in Diversity Panel. No notes. Endosperm changed to match baseggio (visual),2014,Wisconsin,
31277,34f,sh2,Found in Diversity Panel. No notes. Endosperm changed to match baseggio (visual),2014,Wisconsin,
15A0265,34f,sh2,Found in Diversity Panel. No notes. Endosperm changed to match baseggio (visual),2015,New York,
2628,34f,sh2,Found in Diversity Panel. No notes. Endosperm changed to match baseggio (visual),2015,Wisconsin,
14A0307,471-U6,su1,not found in compliation or diversity panel,2014,New York,
14A0603,471-U6,su1,not found in compliation or diversity panel,2014,New York,
31433,471-U6,su1,not found in compliation or diversity panel,2014,Wisconsin,
32464,471-U6,su1,not found in compliation or diversity panel,2014,Wisconsin,
15A0130,471-U6,su1,not found in compliation or diversity panel,2015,New York,
2539,471-U6,su1,not found in compliation or diversity panel,2015,Wisconsin,
14A0400,675A,su1,Strain 675A-415-68(B) closest thing in diversity panel,2014,New York,
14A0842,675A,su1,Strain 675A-415-68(B) closest thing in diversity panel,2014,New York,
30868,675A,su1,Strain 675A-415-68(B) closest thing in diversity panel,2014,Wisconsin,
31925,675A,su1,Strain 675A-415-68(B) closest thing in diversity panel,2014,Wisconsin,
15A0389,675A,su1,Strain 675A-415-68(B) closest thing in diversity panel,2015,New York,
15A0955,675A,su1,Strain 675A-415-68(B) closest thing in diversity panel,2015,New York,
30738,81-1,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
30879,81-1,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
14A0381,83610b,su1,Found in Diversity Panel. No notes,2014,New York,
14A0870,83610b,su1,Found in Diversity Panel. No notes,2014,New York,
30320,83610b,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
32456,83610b,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0357,83610b,su1,Found in Diversity Panel. No notes,2015,New York,
15A0628,83610b,su1,Found in Diversity Panel. No notes,2015,New York,
3165,83610b,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
14A0260,83612b,su1,Found in Diversity Panel. No notes,2014,New York,
14A0738,83612b,su1,Found in Diversity Panel. No notes,2014,New York,
31717,83612b,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
31844,83612b,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0194,83612b,su1,Found in Diversity Panel. No notes,2015,New York,
15A0595,83612b,su1,Found in Diversity Panel. No notes,2015,New York,
3001,83612b,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
14A0273,A10579,su1,Ia453 X Ia5125,2014,New York,
14A0790,A10579,su1,Ia453 X Ia5125,2014,New York,
31949,A10579,su1,Ia453 X Ia5125,2014,Wisconsin,
32479,A10579,su1,Ia453 X Ia5125,2014,Wisconsin,
15A0223,A10579,su1,Ia453 X Ia5125,2015,New York,
15A0636,A10579,su1,Ia453 X Ia5125,2015,New York,
2955,A10579,su1,Ia453 X Ia5125,2015,Wisconsin,
14A0285,A15,su1,Found in Diversity Panel. No notes,2014,New York,
14A0556,A15,su1,Found in Diversity Panel. No notes,2014,New York,
31503,A15,su1,Minnesota #13,2014,Wisconsin,
32336,A15,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0252,A15,su1,Found in Diversity Panel. No notes,2015,New York,
15A0710,A15,su1,Found in Diversity Panel. No notes,2015,New York,
3361,A15,su1,no notes,2015,Wisconsin,
14A0362,A632,field,Found in Diversity Panel. No notes,2014,New York,
14A0725,A632,field,Found in Diversity Panel. No notes,2014,New York,
14A0815,A632,field,Found in Diversity Panel. No notes,2014,New York,
31353,A632,field,Found in Diversity Panel. No notes,2014,Wisconsin,
31532,A632,field,Found in Diversity Panel. No notes,2014,Wisconsin,
32309,A632,field,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0401,A632,field,Found in Diversity Panel. No notes,2015,New York,
15A0816,A632,field,Found in Diversity Panel. No notes,2015,New York,
15A0911,A632,field,Found in Diversity Panel. No notes,2015,New York,
14A0411,A648,su1,Found in Diversity Panel. No notes,2014,New York,
14A0822,A648,su1,Found in Diversity Panel. No notes,2014,New York,
31729,A648,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0464,A648,su1,Found in Diversity Panel. No notes,2015,New York,
15A0965,A648,su1,Found in Diversity Panel. No notes,2015,New York,
3419,A648,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
30654,A648,su1,Found in Diversity Panel. No notes,2014,Wisconsin,Manually Added 2021.09.06
14A0230,A684su,su1,A684su     (PI 567792),2014,New York,
14A0651,A684su,su1,A684su     (PI 567792),2014,New York,
31515,A684su,su1,A684su     (PI 567792),2014,Wisconsin,
32153,A684su,su1,A684su     (PI 567792),2014,Wisconsin,
15A0257,A684su,su1,A684su     (PI 567792),2015,New York,
15A0775,A684su,su1,A684su     (PI 567792),2015,New York,
2928,A684su,su1,A684su     (PI 567792),2015,Wisconsin,
14A0551,A685su,su1,Sel. from [Apache S3 X (Ia453 X B52) S6],2014,New York,
31459,A685su,su1,Sel. from [Apache S3 X (Ia453 X B52) S6],2014,Wisconsin,
32349,A685su,su1,Sel. from [Apache S3 X (Ia453 X B52) S6],2014,Wisconsin,
15A0179,A685su,su1,Sel. from [Apache S3 X (Ia453 X B52) S6],2015,New York,
15A0680,A685su,su1,Sel. from [Apache S3 X (Ia453 X B52) S6],2015,New York,
2931,A685su,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
14A0596,A686su,su1,A686su     (PI 567794),2014,New York,
31117,A686su,su1,A686su     (PI 567794),2014,Wisconsin,
31753,A686su,su1,A686su     (PI 567794),2014,Wisconsin,
15A0651,A686su,su1,A686su     (PI 567794),2015,New York,
14A0420,A7,su1,Found in Diversity Panel. No notes,2014,New York,
14A0873,A7,su1,Found in Diversity Panel. No notes,2014,New York,
30468,A7,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0251,A7,su1,Found in Diversity Panel. No notes,2015,New York,
15A0796,A7,su1,Found in Diversity Panel. No notes,2015,New York,
2544,A7,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
14A0267,AS11,su1,Listed at As11 in some places and A511 in other. Change all to AS11,2014,New York,
14A0788,AS11,su1,Listed at As11 in some places and A511 in other. Change all to AS11,2014,New York,
31475,AS11,su1,not found in compliation or diversity panel,2014,Wisconsin,
31841,AS11,su1,not found in compliation or diversity panel,2014,Wisconsin,
15A0279,AS11,su1,Listed at As11 in some places and A511 in other. Change all to AS11,2015,New York,
2833,AS11,su1,Listed at As11 in some places and A511 in other. Change all to AS11,2015,Wisconsin,
14A0334,B5765,su1,B5765 Se (maked as su1 in diversity panel),2014,New York,
14A0662,B5765,su1,B5765 Se (maked as su1 in diversity panel),2014,New York,
32061,B5765,su1,B5765 Se (maked as su1 in diversity panel),2014,Wisconsin,
15A0216,B5765,su1,B5765 Se (maked as su1 in diversity panel),2015,New York,
15A0619,B5765,su1,B5765 Se (maked as su1 in diversity panel),2015,New York,
2811,B5765,su1,B5765 Se (maked as su1 in diversity panel),2015,Wisconsin,
14A0185,B5870,su1,Found in Diversity Panel. No notes,2014,New York,
14A0718,B5870,su1,Found in Diversity Panel. No notes,2014,New York,
31115,B5870,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
32155,B5870,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0319,B5870,su1,Found in Diversity Panel. No notes,2015,New York,
15A0764,B5870,su1,Found in Diversity Panel. No notes,2015,New York,
3047,B5870,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
14A0440,B73,field,Iowa Stiff Stalk Synthetic,2014,New York,
14A0801,B73,field,Iowa Stiff Stalk Synthetic,2014,New York,
30860,B73,field,Iowa Stiff Stalk Synthetic,2014,Wisconsin,
31529,B73,field,Iowa Stiff Stalk Synthetic,2014,Wisconsin,
15A0404,B73,field,Iowa Stiff Stalk Synthetic,2015,New York,
15A0968,B73,field,Iowa Stiff Stalk Synthetic,2015,New York,
3233,B73,field,Iowa Stiff Stalk Synthetic,2015,Wisconsin,
14A0003,C12-1,su1,Found in Diversity Panel. No notes,2014,New York,
14A0476,C12-1,su1,Found in Diversity Panel. No notes,2014,New York,
30839,C12-1,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
15A0029,C12-1,su1,Found in Diversity Panel. No notes,2015,New York,
2557,C12-1,su1,Found in Diversity Panel. No notes,2015,Wisconsin,
30675,C12-1,su1,Found in Diversity Panel. No notes,2014,Wisconsin,Manually Added 2021.09.06
14A0024,C13,su1,Golden Early Market,2014,New York,
14A0507,C13,su1,Golden Early Market,2014,New York,
30511,C13,su1,Golden Early Market,2014,Wisconsin,
30702,C13,su1,Golden Early Market,2014,Wisconsin,
30928,C13,su1,Golden Early Market,2014,Wisconsin,
31053,C13,su1,Golden Early Market,2014,Wisconsin,
15A0017,C13,su1,Golden Early Market,2015,New York,
15A0076,C13,su1,Golden Early Market,2015,New York,
15A0535,C13,su1,Golden Early Market,2015,New York,
15A0592,C13,su1,Golden Early Market,2015,New York,
2222,C13,su1,Golden Early Market,2015,Wisconsin,
2567,C13,su1,Golden Early Market,2015,Wisconsin,
30308,C15,su1,Found in Diversity Panel. No notes,2014,Wisconsin,
30931,C15,su1,Found in Diversity Panel. No notes,2014,Wisconsin,Fresh Samples left at room temperature. Might be trash
14A0279,C1540,field,C1540 Su,2014,New York,
14A0298,C1540,field,Found in Diversity Panel. No notes,2014,New York,
14A0545,C1540,field,C1540 Su,2014,New York,
14A0711,C1540,field,C1540 Su,2014,New York,
30941,C1540,field,C1540 Su,2014,Wisconsin,
31901,C1540,field,Found in Diversity Panel. No notes,2014,Wisconsin,
